S.No,Column Name,Description
1,CRIM,Per capita crime rate by town
2,ZN,Proportion of residential land zoned for lots over 25000 sq.ft.
3,INDUS,Proportion of non-retail business acres per town
4,CHAS,Charles River dummy variable (= 1 if tract bounds river; 0 otherwise)
5,NOX,Nitric oxides concentration (parts per 10 million)
6,RM,Average number of rooms per dwelling
7,AGE,Proportion of owner-occupied units built prior to 1940
8,DIS,Weighted distances to five Boston employment centers
9,RAD,Index of accessibility to radial highways
10,TAX,Full-value property-tax rate per $10000
11,PTRATIO,Pupil-teacher ratio by town
12,B,1000(Bk - 0.63)^2 where Bk is the proportion of blacks by town
13,LSTAT,% lower status of the population
14,MEDV,Median value of owner-occupied homes in $1000's